Run,City,System,FailureTime
3,New York,Power Grid AI,10
3,New York,Internet Backbone AI,13
3,New York,Data Centers,17
3,New York,Hospitals,14
3,New York,Finance,13
3,New York,Logistics,15
3,New York,Emergency Services,21
3,New York,Media,23
3,New York,Government Portals,18
3,Los Angeles,Power Grid AI,7
3,Los Angeles,Internet Backbone AI,11
3,Los Angeles,Data Centers,9
3,Los Angeles,Hospitals,14
3,Los Angeles,Finance,14
3,Los Angeles,Logistics,17
3,Los Angeles,Emergency Services,24
3,Los Angeles,Media,17
3,Los Angeles,Government Portals,20
3,Chicago,Power Grid AI,12
3,Chicago,Internet Backbone AI,11
3,Chicago,Data Centers,15
3,Chicago,Hospitals,19
3,Chicago,Finance,15
3,Chicago,Logistics,14
3,Chicago,Emergency Services,28
3,Chicago,Media,14
3,Chicago,Government Portals,13
3,Houston,Power Grid AI,9
3,Houston,Internet Backbone AI,8
3,Houston,Data Centers,12
3,Houston,Hospitals,20
3,Houston,Finance,15
3,Houston,Logistics,11
3,Houston,Emergency Services,26
3,Houston,Media,10
3,Houston,Government Portals,13
3,Phoenix,Power Grid AI,0
3,Phoenix,Internet Backbone AI,4
3,Phoenix,Data Centers,7
3,Phoenix,Hospitals,15
3,Phoenix,Finance,7
3,Phoenix,Logistics,10
3,Phoenix,Emergency Services,24
3,Phoenix,Media,10
3,Phoenix,Government Portals,8
3,Philadelphia,Power Grid AI,10
3,Philadelphia,Internet Backbone AI,12
3,Philadelphia,Data Centers,16
3,Philadelphia,Hospitals,23
3,Philadelphia,Finance,12
3,Philadelphia,Logistics,12
3,Philadelphia,Emergency Services,33
3,Philadelphia,Media,19
3,Philadelphia,Government Portals,25
3,San Antonio,Power Grid AI,5
3,San Antonio,Internet Backbone AI,13
3,San Antonio,Data Centers,13
3,San Antonio,Hospitals,16
3,San Antonio,Finance,17
3,San Antonio,Logistics,20
3,San Antonio,Emergency Services,18
3,San Antonio,Media,16
3,San Antonio,Government Portals,19
3,San Diego,Power Grid AI,10
3,San Diego,Internet Backbone AI,11
3,San Diego,Data Centers,17
3,San Diego,Hospitals,23
3,San Diego,Finance,9
3,San Diego,Logistics,15
3,San Diego,Emergency Services,28
3,San Diego,Media,25
3,San Diego,Government Portals,15
3,Dallas,Power Grid AI,5
3,Dallas,Internet Backbone AI,9
3,Dallas,Data Centers,9
3,Dallas,Hospitals,14
3,Dallas,Finance,12
3,Dallas,Logistics,15
3,Dallas,Emergency Services,21
3,Dallas,Media,12
3,Dallas,Government Portals,11
3,San Jose,Power Grid AI,9
3,San Jose,Internet Backbone AI,12
3,San Jose,Data Centers,14
3,San Jose,Hospitals,17
3,San Jose,Finance,11
3,San Jose,Logistics,13
3,San Jose,Emergency Services,19
3,San Jose,Media,17
3,San Jose,Government Portals,16
4,New York,Power Grid AI,8
4,New York,Internet Backbone AI,10
4,New York,Data Centers,14
4,New York,Hospitals,23
4,New York,Finance,15
4,New York,Logistics,22
4,New York,Emergency Services,25
4,New York,Media,17
4,New York,Government Portals,13
4,Los Angeles,Power Grid AI,8
4,Los Angeles,Internet Backbone AI,11
4,Los Angeles,Data Centers,17
4,Los Angeles,Hospitals,12
4,Los Angeles,Finance,16
4,Los Angeles,Logistics,14
4,Los Angeles,Emergency Services,17
4,Los Angeles,Media,16
4,Los Angeles,Government Portals,22
4,Chicago,Power Grid AI,8
4,Chicago,Internet Backbone AI,12
4,Chicago,Data Centers,11
4,Chicago,Hospitals,11
4,Chicago,Finance,16
4,Chicago,Logistics,20
4,Chicago,Emergency Services,14
4,Chicago,Media,20
4,Chicago,Government Portals,14
4,Houston,Power Grid AI,7
4,Houston,Internet Backbone AI,13
4,Houston,Data Centers,16
4,Houston,Hospitals,22
4,Houston,Finance,15
4,Houston,Logistics,16
4,Houston,Emergency Services,25
4,Houston,Media,16
4,Houston,Government Portals,18
4,Phoenix,Power Grid AI,7
4,Phoenix,Internet Backbone AI,12
4,Phoenix,Data Centers,14
4,Phoenix,Hospitals,10
4,Phoenix,Finance,16
4,Phoenix,Logistics,16
4,Phoenix,Emergency Services,14
4,Phoenix,Media,19
4,Phoenix,Government Portals,17
4,Philadelphia,Power Grid AI,4
4,Philadelphia,Internet Backbone AI,8
4,Philadelphia,Data Centers,16
4,Philadelphia,Hospitals,10
4,Philadelphia,Finance,16
4,Philadelphia,Logistics,9
4,Philadelphia,Emergency Services,21
4,Philadelphia,Media,13
4,Philadelphia,Government Portals,10
4,San Antonio,Power Grid AI,8
4,San Antonio,Internet Backbone AI,14
4,San Antonio,Data Centers,14
4,San Antonio,Hospitals,12
4,San Antonio,Finance,15
4,San Antonio,Logistics,10
4,San Antonio,Emergency Services,19
4,San Antonio,Media,16
4,San Antonio,Government Portals,20
4,San Diego,Power Grid AI,5
4,San Diego,Internet Backbone AI,13
4,San Diego,Data Centers,15
4,San Diego,Hospitals,17
4,San Diego,Finance,15
4,San Diego,Logistics,14
4,San Diego,Emergency Services,26
4,San Diego,Media,19
4,San Diego,Government Portals,22
4,Dallas,Power Grid AI,4
4,Dallas,Internet Backbone AI,9
4,Dallas,Data Centers,7
4,Dallas,Hospitals,10
4,Dallas,Finance,14
4,Dallas,Logistics,15
4,Dallas,Emergency Services,23
4,Dallas,Media,14
4,Dallas,Government Portals,23
4,San Jose,Power Grid AI,0
4,San Jose,Internet Backbone AI,11
4,San Jose,Data Centers,7
4,San Jose,Hospitals,8
